Name,Num
Богородское,110137
Вешняки,122419
Восточное,13752
Гольяново,163197
Ивановское,128514
Измайлово,107883
Косино-Ухтомское,82413
Метрогородок,39121
Новогиреево,98634
Новокосино,108204
Перово,141269
Преображенское,91574
Соколиная Гора,92337
Сокольники,61649
Внуково,25783
Дорогомилово,76218
Крылатское,83007
Кунцево,152467
Можайское,139081
Ново-Переделкино,121718
Очаково-Матвеевское,130975
Проспект Вернадского,64228
Раменки,142389
Солнцево,126901
Тропарево-Никулино,124287
Филевский парк,94787
Фили Давыдково,115273
Матушкино,40913
Савелки,34726
Силино,40341
Старое Крюково,31427
Крюково,103046
Аэропорт,79541
Беговое,42908
Бескудниковское,79732
Войковское,70899
Восточное Дегунино,99112
Головинское,103573
Дмитровское,93545
Западное Дегунино,84381
Коптево,102238
Левобережное,54712
Молжаниновское,12264
Савеловское,59586
Сокол,60171
Тимирязевское,83824
Ховрино,89094
Хорошевское,72732
Алексеевское,80634
Алтуфьевское,57697
Бабушкинское,88691
Бибирево,160447
Бутырское,71798
Лианозово,86035
Лосиноостровское,83046
Марфино,35579
Марьина Роща,67538
Останкинское,63697
Отрадное,185745
Ростокино,40196
Свиблово,62981
Северное Медведково,127986
Северное ,38633
Южное Медведково,85867
Ярославское,98272
Куркино,34231
Митино,195476
Покровское Стрешнево,59512
Северное Тушино,166217
Строгино,161298
Хорошево-Мневники,174834
Щукино,111673
Южное Тушино,109708
Арбат,36308
Басманное,110897
Замоскворечье,59305
Красносельское,48769
Мещанское,61452
Пресненское,128314
Таганское,123532
Тверское,77947
Хамовники,109451
Якиманка,27911
Выхино-Жулебино,225493
Капотня,33714
Кузьминки,146208
Лефортово,95467
Люблино,172523
Марьино,254142
Некрасовка,83525
Нижегородское,45738
Печатники,86706
Рязанский,110073
Текстильщики,105398
Южнопортовое,74841
Академическое,110038
Гагаринское,81967
Зюзино,127301
Коньково,156473
Котловка,65992
Ломоносовское,88407
Обручевское,87458
Северное Бутово,95937
Теплый Стан,134562
Черемушки,110948
Южное Бутово,210783
Ясенево,178264
Бирюлево Восточное,155937
Бирюлево Западное,88796
Братеево,110185
Даниловское,95013
Донское,52037
Зябликово,133501
Москворечье-Сабурово,80934
Нагатино-Садовники,83607
Нагатинский Затон,121143
Нагорное,81794
Орехово-Борисово Северное,132307
Орехово-Борисово Южное,147835
Царицыно,129318
Чертаново Северное,114653
Чертаново Центральное,117308
Чертаново Южное,151899
Поселение Внуковское,12816
Поселение Воскресенское,10037
Поселение Десёновское,23519
Поселение Кокошкино,19323
Поселение Марушкинское,7694
Поселение Московский,63010
   г. Московский,59218
Поселение Мосрентген,20967
Поселение Рязановское,21683
Поселение Сосенское,33096
Поселение Филимонковское,8017
Поселение Щербинка,54008
      г. Щербинка,54008
Поселение Вороновское,9634
Поселение Киевский,14215
Поселение Кленовское,4238
Поселение Краснопахорское,5380
Поселение Михайлово-Ярцевское,5768
Поселение Новофедоровское,7381
Поселение Первомайское,9215
Поселение Роговское,4096
Поселение Троицк,61284
   г. Троицк,61284
Поселение Щаповское,9601
